,Borrower_ID,Age,Gender,Employment_Type,Monthly_Income,Num_Dependents,Loan_ID,Loan_Amount,Loan_Tenure,Interest_Rate,Loan_Type,Collateral_Value,Outstanding_Loan_Amount,Monthly_EMI,Payment_History,Num_Missed_Payments,Days_Past_Due,Recovery_Status,Collection_Attempts,Collection_Method,Legal_Action_Taken,EMI_to_Income_Ratio,Collateral_Coverage,Default_Severity,Borrower_Segment,Segment_Name,High_Risk_Flag,Predicted_Risk_Score,Predicted_High_Risk,Recommend_Recovery_Strategy
0,BRW_6,41,Male,Salaried,238224,3,LN_6,664741,36,15.86,Auto,982214.627829724,129965.525042383,3610.15,On-Time,1,111,Partially Recovered,6,Legal Notice,No,0.015154434481832225,1.4775899603450426,111,2,"Moderate Income, Medium Risk",0,,,
1,BRW_117,64,Male,Self-Employed,249614,0,LN_117,1926336,72,7.9,Home,1119517.56749653,680411.848349498,9450.16,On-Time,0,0,Partially Recovered,1,Calls,No,0.03785909444181817,0.5811642244637124,0,3,"High Loan, Higher Default Risk",1,,,
2,BRW_46,29,Female,Salaried,24847,0,LN_46,1818361,72,7.58,Auto,2460683.32953174,319736.833396768,4440.79,On-Time,0,0,Partially Recovered,7,Debt Collectors,No,0.17872539944460095,1.3532424691971177,0,2,"Moderate Income, Medium Risk",0,,,
3,BRW_17,42,Male,Salaried,133154,3,LN_17,1256212,24,8.82,Auto,843667.415463697,703320.021155911,29305.0,On-Time,3,171,Fully Recovered,3,Calls,No,0.2200835123240759,0.6715963670651904,513,0,"Moderate Income, High Loan Burden",1,,,
4,BRW_463,44,Male,Salaried,211133,2,LN_463,963081,12,17.02,Auto,1014662.205195,541900.377300077,45158.36,Missed,10,68,Fully Recovered,3,Settlement Offer,No,0.2138858444677052,1.0535585326623618,680,0,"Moderate Income, High Loan Burden",1,,,
5,BRW_358,59,Female,Salaried,139457,3,LN_358,1586643,36,9.57,Auto,1543034.8197416,533824.211449443,14828.45,Delayed,2,76,Fully Recovered,3,Settlement Offer,No,0.10632990814372889,0.9725154428195882,152,2,"Moderate Income, Medium Risk",0,,,
6,BRW_4,63,Female,Salaried,140818,2,LN_4,1811663,36,12.23,Home,1145492.68010532,224973.921257009,6249.28,On-Time,1,56,Fully Recovered,2,Calls,No,0.044378417531849616,0.6322879476510366,56,2,"Moderate Income, Medium Risk",0,,,
7,BRW_219,42,Female,Business Owner,173670,3,LN_219,429270,60,17.26,Business,288416.430364588,198635.325894906,3310.59,Delayed,1,176,Fully Recovered,2,Legal Notice,No,0.019062532389013648,0.6718765121359237,176,2,"Moderate Income, Medium Risk",0,,,
8,BRW_406,39,Female,Salaried,246804,0,LN_406,1780085,60,13.46,Personal,0.0,1248200.80993899,20803.35,Delayed,2,59,Partially Recovered,8,Settlement Offer,No,0.0842909758350756,0.0,118,3,"High Loan, Higher Default Risk",1,,,
9,BRW_61,26,Male,Salaried,237500,2,LN_61,1439678,60,8.83,Home,1261755.34041187,1101165.30059316,18352.76,On-Time,2,120,Fully Recovered,3,Calls,No,0.07727477894736841,0.8764149625206956,240,2,"Moderate Income, Medium Risk",0,,,
10,BRW_111,54,Male,Salaried,28669,3,LN_111,1445811,12,7.94,Home,1059254.11078262,955922.919984545,79660.24,On-Time,2,50,Fully Recovered,0,Legal Notice,No,2.7786194146988037,0.732636638386774,100,1,"High Income, Low Default Risk",0,,,
11,BRW_319,37,Male,Salaried,182523,0,LN_319,1486564,36,12.19,Business,1663714.92452214,1246469.32035868,34624.15,Delayed,3,112,Partially Recovered,8,Settlement Offer,No,0.18969746278551197,1.1191680442430598,336,1,"High Income, Low Default Risk",0,,,
12,BRW_429,32,Female,Self-Employed,103733,0,LN_429,525430,48,12.7,Home,323090.239992649,386853.452583399,8059.45,Missed,9,145,Partially Recovered,1,Debt Collectors,No,0.07769417639516836,0.6149063433619112,1305,0,"Moderate Income, High Loan Burden",1,,,
13,BRW_30,47,Female,Self-Employed,94530,1,LN_30,1491149,36,10.92,Auto,1337195.40567861,1297293.68194425,36035.94,On-Time,0,0,Fully Recovered,0,Legal Notice,No,0.3812116788321168,0.896755056455532,0,1,"High Income, Low Default Risk",0,,,
14,BRW_438,50,Female,Salaried,246055,3,LN_438,1242503,48,6.96,Home,1011451.87222757,417774.868794357,8703.64,On-Time,1,103,Fully Recovered,2,Settlement Offer,No,0.03537274186665583,0.81404380691843,103,2,"Moderate Income, Medium Risk",0,,,
15,BRW_472,55,Male,Salaried,230400,2,LN_472,1652357,60,5.18,Business,2455019.56758075,902911.403569325,15048.52,On-Time,2,71,Fully Recovered,2,Debt Collectors,No,0.06531475694444444,1.4857682495857434,142,1,"High Income, Low Default Risk",0,,,
16,BRW_27,42,Male,Business Owner,34816,3,LN_27,1652970,48,9.56,Personal,0.0,1561797.4177508,32537.45,On-Time,1,100,Fully Recovered,1,Calls,No,0.9345545151654412,0.0,100,1,"High Income, Low Default Risk",0,,,
17,BRW_8,39,Male,Salaried,79674,0,LN_8,912147,12,9.76,Personal,0.0,416121.380852301,34676.78,Delayed,0,0,Fully Recovered,0,Settlement Offer,No,0.4352333258026458,0.0,0,3,"High Loan, Higher Default Risk",1,,,
18,BRW_454,54,Male,Salaried,232029,2,LN_454,1104244,24,6.66,Personal,0.0,216178.4956434,9007.44,On-Time,2,64,Fully Recovered,3,Settlement Offer,No,0.03882031987380888,0.0,128,3,"High Loan, Higher Default Risk",1,,,
19,BRW_109,28,Female,Salaried,169268,0,LN_109,387369,36,6.2,Personal,0.0,53007.7869885112,1472.44,On-Time,0,0,Written Off,10,Calls,No,0.008698868067207034,0.0,0,3,"High Loan, Higher Default Risk",1,,,
20,BRW_38,27,Female,Salaried,50946,0,LN_38,603172,72,9.07,Personal,0.0,517458.952412114,7186.93,On-Time,3,109,Fully Recovered,1,Calls,No,0.14106956385192165,0.0,327,3,"High Loan, Higher Default Risk",1,,,
21,BRW_158,26,Male,Salaried,212096,1,LN_158,892840,48,13.83,Home,1213156.55501719,251171.542546093,5232.74,On-Time,1,157,Fully Recovered,3,Debt Collectors,No,0.024671563820156908,1.3587614298387058,157,2,"Moderate Income, Medium Risk",0,,,
22,BRW_490,55,Male,Self-Employed,25382,0,LN_490,478745,24,6.05,Business,469310.974925068,86465.8576801809,3602.74,On-Time,3,105,Partially Recovered,6,Calls,No,0.14194074541013316,0.9802942587913566,315,2,"Moderate Income, Medium Risk",0,,,
23,BRW_119,42,Male,Self-Employed,140354,3,LN_119,1909626,48,15.26,Personal,0.0,1007990.87047716,20999.81,Delayed,1,26,Fully Recovered,0,Legal Notice,No,0.14962031719794236,0.0,26,3,"High Loan, Higher Default Risk",1,,,
